text,target,category,polarity,_merge
	Gördüğüm en güzel dekorasyonlu simit sarayı diyebilirim.,dekorasyonlu,AMBIENCE#GENERAL,positive,left_only
"((( hayal kirikligi - Uzunlar'a ilk gittigimdeki tadi ikinci gidisimde bulamadim... Ilk gittigimde çok lezzetli gelen dürüm 2. gidisimde tam bir fiyaskoydu çok yagli oldugundan yiyemedik arkadaslarla aç kaldik resmen : ((( Mekanin kalabalik olmasindan mi kaynakliydi bu dikkatsizlik anlam veremedim, bu kadar övgü almasina ragmen böyle olumsuz bir durum ilginç geldi.",,FOOD#QUALITY,negative,left_only
"((( hayal kirikligi - Uzunlar'a ilk gittigimdeki tadi ikinci gidisimde bulamadim... Ilk gittigimde çok lezzetli gelen dürüm 2. gidisimde tam bir fiyaskoydu çok yagli oldugundan yiyemedik arkadaslarla aç kaldik resmen : ((( Mekanin kalabalik olmasindan mi kaynakliydi bu dikkatsizlik anlam veremedim, bu kadar övgü almasina ragmen böyle olumsuz bir durum ilginç geldi.",,RESTAURANT#GENERAL,negative,left_only
) Hamburgeri hoşuma gidiyor ve NY steak de tavsiye edebilirim.,Hamburgeri,FOOD#QUALITY,positive,right_only
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu: ) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,,DRINKS#PRICES,negative,left_only
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu: ) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,,RESTAURANT#GENERAL,positive,left_only
"3 arkadaş yaz başı gittik,döner kısma oturduk 7-8 dakika sipariş almaya gelen olmadı. Masaları silen bir personel vardı bakarmısınız dedik,baktı ama bakmasamıydı. Bi dakka bekleyin işim var görüyorsunuz tarzı bir fırça.",,SERVICE#GENERAL,negative,left_only
"3 aydir haftasonlari ugrak noktamizdi, Kahvehane gibi maç ücreti 10 tl diye yazdilar yaa o gun bizim gozumuzde bitti. Gidicekler simdiden dikkatli olsun.",,RESTAURANT#GENERAL,negative,left_only
"3 aydir haftasonlari ugrak noktamizdi, Kahvehane gibi maç ücreti 10 tl diye yazdilar yaa o gun bizim gozumuzde bitti. Gidicekler simdiden dikkatli olsun.",,RESTAURANT#PRICES,negative,left_only
"5 çayının ideal adresi karaköy'de dem. 50'den fazla çay çeşidi ile damak zevkinizi bi yerde yakalayacağı kesin! Benim tavsiyem vanilya aromalı bourban vanilla, tatlı ihtiyacınız içinse damla sakızlı mastika keki. Hizmet, ilgi alaka herşey şahane!",,DRINKS#QUALITY,positive,left_only
