text,target,category,polarity
Manzara sahane evet ama servis rezalet.,servis,SERVICE#GENERAL,negative
Manzara sahane evet ama servis rezalet.,Manzara,AMBIENCE#GENERAL,positive
"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",mezenin,FOOD#STYLE_OPTIONS,negative
"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",garson,SERVICE#GENERAL,negative
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",lezzetler,FOOD#QUALITY,positive
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",Yemekler,FOOD#QUALITY,positive
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",NULL,FOOD#QUALITY,neutral
bu servise bu fiyatlar ise cok faZla.,fiyatlar,RESTAURANT#PRICES,negative
Lacivert beni kalitesinin dusukluguyle cok sasirtti,kalitesinin,RESTAURANT#GENERAL,negative
Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,balik,FOOD#QUALITY,negative
Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,balik geldi,SERVICE#GENERAL,negative
ayrica gelen kalamar soguk ve sünger gibiydi.,kalamar,FOOD#QUALITY,negative
uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.,NULL,RESTAURANT#GENERAL,negative
Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,kalitesi,RESTAURANT#GENERAL,negative
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,ev yemegi,FOOD#QUALITY,negative
Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,ev yemeginin,FOOD#QUALITY,negative
Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.,NULL,RESTAURANT#GENERAL,negative
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,fiyatlarinin,RESTAURANT#PRICES,negative
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,yemeklerinin,FOOD#QUALITY,negative
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",kasap reyonu,AMBIENCE#GENERAL,negative
garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,garsonumuz,SERVICE#GENERAL,negative
lokumun daha iyisini yedim küşleme güzeldi.,küşleme,FOOD#QUALITY,positive
lokumun daha iyisini yedim küşleme güzeldi.,lokumun,FOOD#QUALITY,neutral
bilemedim mekana daha sonra belki bir şans daha verebilirim.,mekana,RESTAURANT#GENERAL,neutral
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,çayı,DRINKS#PRICES,negative
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,çay,DRINKS#PRICES,negative
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,NULL,RESTAURANT#GENERAL,positive
Şatobiryanı öneririm.,Şatobiryanı,FOOD#QUALITY,positive
Sosu tereyagli ve yumusak .,Sosu,FOOD#QUALITY,positive
Sert et sevmeyenler icin cok lezzetliydi.,et,FOOD#QUALITY,positive
Guvecte yogurt ve salatayla iyi bir uclu oldu.,Guvecte yogurt ve salatayla,FOOD#QUALITY,positive
Servisi hizli valesi var.,Servisi,SERVICE#GENERAL,positive
Acik mekanda ise gardenya bolumu guzel.,gardenya bolumu,AMBIENCE#GENERAL,positive
Kalabalik icin ideal.,NULL,RESTAURANT#GENERAL,positive
Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,bourbon vanilla,FOOD#QUALITY,neutral
Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,beyaz caylarini,DRINKS#QUALITY,positive
"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",Ortam,AMBIENCE#GENERAL,positive
"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",oturma köşeleri,AMBIENCE#GENERAL,positive
Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.,gitmenizi,RESTAURANT#GENERAL,negative
Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,Pendik merkez ana şubesi,RESTAURANT#GENERAL,positive
Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,kurufasülyeci,FOOD#QUALITY,positive
"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",Fasulyesi,FOOD#QUALITY,positive
Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,bekletiyorlarmış,FOOD#STYLE_OPTIONS,neutral
"Yanında turşu, cacık veya yoğurtla harika oluyor.","turşu, cacık veya yoğurtla",FOOD#STYLE_OPTIONS,positive
